epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1533.14,1.57804,1.10914,0.92517,0.63877,0.51823,0.56842,0.38849,1.56937,1.05073,0.93012,0.000238728,0.000238728,0.000238728
62,1556.73,1.5764,1.10674,0.92054,0.62744,0.52122,0.57274,0.39344,1.54064,1.04407,0.92747,0.000232907,0.000232907,0.000232907
63,1583.82,1.59908,1.10282,0.92855,0.68439,0.50043,0.57071,0.39085,1.53583,1.07826,0.9251,0.000227086,0.000227086,0.000227086
64,1607.6,1.59505,1.10073,0.92182,0.63203,0.54229,0.5723,0.39922,1.55016,1.06747,0.92516,0.000221264,0.000221264,0.000221264
65,1634.07,1.59049,1.08722,0.92452,0.64486,0.51509,0.55912,0.38106,1.60728,1.054,0.93348,0.000215443,0.000215443,0.000215443
66,1657.71,1.5605,1.09034,0.92241,0.71277,0.52998,0.58449,0.40117,1.52912,1.0371,0.92156,0.000209622,0.000209622,0.000209622
67,1683.61,1.5691,1.08719,0.91978,0.73912,0.5126,0.58815,0.41711,1.50722,1.02522,0.92055,0.000203801,0.000203801,0.000203801
68,1706.68,1.56322,1.0684,0.9231,0.6637,0.53488,0.58547,0.41412,1.51507,1.03141,0.91952,0.00019798,0.00019798,0.00019798
69,1732.43,1.5954,1.09293,0.92185,0.67659,0.53434,0.57965,0.40467,1.52722,1.0392,0.92057,0.000192158,0.000192158,0.000192158
70,1756.78,1.56417,1.07599,0.91542,0.67865,0.54223,0.59272,0.41221,1.50845,1.02218,0.91884,0.000186337,0.000186337,0.000186337
71,1782.42,1.53129,1.04278,0.91555,0.65863,0.54352,0.58577,0.41508,1.50749,1.01419,0.91731,0.000180516,0.000180516,0.000180516
72,1806.53,1.53999,1.06659,0.92005,0.71508,0.51561,0.58895,0.41906,1.50526,1.01437,0.91849,0.000174695,0.000174695,0.000174695
73,1831.57,1.55064,1.06141,0.91647,0.7053,0.54135,0.59407,0.42305,1.49875,0.99749,0.91641,0.000168874,0.000168874,0.000168874
74,1855.9,1.53895,1.04655,0.91025,0.66612,0.54149,0.59069,0.41266,1.52352,1.01619,0.92145,0.000163052,0.000163052,0.000163052
75,1880.51,1.54994,1.05666,0.92285,0.63738,0.54622,0.58996,0.41304,1.52203,1.01395,0.92073,0.000157231,0.000157231,0.000157231
76,1904.63,1.52617,1.04236,0.91258,0.69658,0.53349,0.59266,0.41788,1.49628,1.01977,0.91582,0.00015141,0.00015141,0.00015141
77,1929.32,1.53064,1.04243,0.91246,0.72434,0.52717,0.59372,0.41561,1.51149,1.00122,0.91746,0.000145589,0.000145589,0.000145589
78,1954.54,1.5495,1.05892,0.91605,0.7203,0.55437,0.61254,0.4307,1.50396,0.99655,0.91552,0.000139768,0.000139768,0.000139768
79,1978.86,1.51946,1.04303,0.91275,0.73523,0.53571,0.60537,0.42865,1.47724,1.00243,0.91313,0.000133946,0.000133946,0.000133946
80,2004.31,1.51124,1.02747,0.91526,0.72964,0.54146,0.60699,0.43377,1.4893,0.96909,0.91215,0.000128125,0.000128125,0.000128125
81,2029.1,1.53918,1.0402,0.91403,0.738,0.53506,0.61101,0.43391,1.47667,0.97768,0.91243,0.000122304,0.000122304,0.000122304
82,2054.54,1.5264,1.04214,0.91438,0.73482,0.5419,0.60801,0.43283,1.47669,0.97094,0.9115,0.000116483,0.000116483,0.000116483
83,2078.61,1.53115,1.0319,0.9107,0.70348,0.55897,0.61376,0.43795,1.47052,0.97998,0.90989,0.000110662,0.000110662,0.000110662
84,2104.09,1.51511,1.024,0.9118,0.68351,0.56739,0.61331,0.43685,1.47795,0.98155,0.91143,0.00010484,0.00010484,0.00010484
85,2128.29,1.53228,1.03629,0.91265,0.682,0.56262,0.61263,0.43802,1.46686,0.97981,0.90891,9.90192e-05,9.90192e-05,9.90192e-05
86,2153.61,1.52521,1.02209,0.91025,0.66592,0.57267,0.61588,0.43827,1.47054,0.97113,0.9105,9.3198e-05,9.3198e-05,9.3198e-05
87,2178.49,1.51125,1.01157,0.91052,0.72103,0.55487,0.61812,0.44093,1.47571,0.96905,0.91049,8.73768e-05,8.73768e-05,8.73768e-05
88,2203.79,1.53834,1.0463,0.90757,0.69808,0.56548,0.61335,0.43421,1.48055,0.96896,0.91018,8.15556e-05,8.15556e-05,8.15556e-05
89,2228.56,1.49109,1.01061,0.91204,0.72732,0.55146,0.62374,0.44087,1.46235,0.96601,0.90868,7.57344e-05,7.57344e-05,7.57344e-05
90,2254.11,1.5043,1.00632,0.90586,0.75617,0.54795,0.6219,0.44266,1.45868,0.96039,0.90739,6.99132e-05,6.99132e-05,6.99132e-05
91,2284.16,1.56175,1.14331,0.9239,0.67983,0.55363,0.60776,0.43402,1.47621,0.99379,0.91127,6.4092e-05,6.4092e-05,6.4092e-05
92,2307.96,1.51084,1.04777,0.90822,0.70281,0.54572,0.60745,0.43152,1.48476,1.00416,0.91393,5.82708e-05,5.82708e-05,5.82708e-05
93,2332.31,1.50718,1.0259,0.90808,0.70855,0.55163,0.60597,0.42969,1.48846,0.99897,0.91483,5.24496e-05,5.24496e-05,5.24496e-05
94,2357.62,1.49258,1.00708,0.90735,0.7083,0.54589,0.60346,0.42657,1.47947,1.00132,0.91203,4.66284e-05,4.66284e-05,4.66284e-05
95,2380.39,1.48933,1.00247,0.89958,0.69128,0.55645,0.60886,0.42799,1.48425,0.98674,0.91311,4.08072e-05,4.08072e-05,4.08072e-05
96,2404.56,1.4919,1.00736,0.90696,0.71518,0.55348,0.60874,0.42485,1.49056,0.99435,0.91531,3.4986e-05,3.4986e-05,3.4986e-05
97,2428.69,1.48368,0.99682,0.90587,0.69347,0.56454,0.62004,0.44007,1.46745,0.97717,0.91014,2.91648e-05,2.91648e-05,2.91648e-05
98,2451.98,1.48695,1.00391,0.90311,0.68577,0.56587,0.6192,0.43651,1.47564,0.97961,0.91125,2.33436e-05,2.33436e-05,2.33436e-05
99,2477.4,1.48423,1.00016,0.90139,0.70272,0.5636,0.62115,0.43952,1.46441,0.97046,0.90911,1.75224e-05,1.75224e-05,1.75224e-05
100,2501,1.47949,0.9894,0.90397,0.69664,0.56479,0.61952,0.43682,1.47546,0.9732,0.91095,1.17012e-05,1.17012e-05,1.17012e-05
